Product Title,Star,Rating,Review,Processor,RAM,ROM,Screen Size,Current Price,MRP,Image Link
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,"3,714",353,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹38,000","₹59,390",https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,"10,695","1,084",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹54,990","₹63,539",https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/q/x/r/hp-original-imaftyzachgrav8f.jpeg?q=70
ASUS TUF Dash F15 (2022) Core i5 12th Gen,4.3,64,6,Intel Core i5 Processor (12th Gen),8 GB DDR5,512 GB SSD,39.62 cm (15.6 inch),"₹79,199","₹1,03,990",https://rukminim1.flixcart.com/image/312/312/l4n2oi80/computer/q/u/u/-original-imagfhpzry32pdyg.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,631,50,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹36,990","₹60,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,"2,169",190,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,599","₹76,890",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
MSI Modern 14 Ryzen 5 Hexa Core 5500U,4.4,"2,850",384,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹42,990","₹61,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/o/b/modern-14-b5m-notebook-msi-original-imaggmfqjsdatppv.jpeg?q=70
ASUS TUF Gaming F15 Core i5 10th Gen,4.4,"3,742",360,Intel Core i5 Processor (10th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹58,990","₹70,990",https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
Infinix INBook X1 Neo Series Celeron Quad Core,4.2,545,97,Intel Celeron Quad Core Processor,4 GB LPDDR4X,128 GB SSD,35.56 cm (14 inch),"₹20,990","₹29,990",https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/b/f/k/inbook-x1-neo-thin-and-light-laptop-infinix-original-imagg49hqgt2ggzc.jpeg?q=70
Lenovo IdeaPad 3 Celeron Dual Core,4.1,241,25,Intel Celeron Dual Core Processor,8 GB DDR4,256 GB SSD,39.62 cm (15.6 Inch),"₹27,028","₹40,490",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,4.5,304,40,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹74,990","₹1,02,090",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/h/15ach6-gaming-laptop-lenovo-original-imaggmxtjewnjpeq.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.3,294,30,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹66,490","₹93,690",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
ASUS TUF Gaming F15 (2022) Core i7 12th Gen,4.8,8,1,Intel Core i7 Processor (12th Gen),16 GB DDR5,1 TB SSD,39.62 cm (15.6 inch),"₹1,15,424","₹1,69,990",https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/l/7/m/-original-imagetj2awbvdju6.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,"1,541",182,AMD Ryzen 3 Quad Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹39,690","₹45,991",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,3.9,8,1,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹69,490","₹95,790",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
ASUS VivoBook 15 (2021) Core i5 10th Gen,4.2,492,50,Intel Core i5 Processor (10th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹45,990","₹64,990",https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
Infinix X1 Slim Series Core i3 10th Gen,4.2,"3,665",476,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X,256 GB SSD,35.56 cm (14 inch),"₹29,990","₹49,999",https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/b/d/y/-original-imagf39qmdjgesc9.jpeg?q=70
HP Athlon Dual Core 3050U,3.9,443,40,AMD Athlon Dual Core Processor,8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹26,999","₹36,359",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70
DELL Inspiron Pentium Silver,4.1,289,27,Processor: Intel PQC-N5030 (1.10 GHz up to 3.10 GHz),& Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021,"2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 slot for solid-state drive/Intel Optane","₹30,719","₹44,319",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/computer/3/w/s/inspiron-3521-notebook-dell-original-imagcyrhxaybghra.jpeg?q=70
HP 14s Intel Core i5 12th Gen,4.1,"1,055",97,Intel Core i5 Processor (12th Gen),16 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹61,999","₹72,331",https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7,4.1,"1,035",99,AMD Ryzen 7 Quad Core Processor,16 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹46,990","₹70,990",https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
MSI Katana GF66 Core i7 11th Gen,4.3,79,13,Intel Core i7 Processor (11th Gen),16 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹96,990","₹1,23,990",https://rukminim1.flixcart.com/image/312/312/kt1u3rk0/computer/v/x/u/katana-gf66-11ud-thin-and-light-laptop-msi-original-imag6hgucfpqacvt.jpeg?q=70
APPLE MacBook Air M1,4.7,592,70,Apple M1 Processor,16 GB DDR4,256 GB SSD,33.78 cm (13.3 inch),"₹1,04,990","₹1,12,900",https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/b/v/q/na-thin-and-light-laptop-apple-original-imagaygvkp7pjexm.jpeg?q=70
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.2,622,63,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹34,749","₹54,490",https://rukminim1.flixcart.com/image/312/312/l4vnbm80/computer/i/f/f/15ada7-thin-and-light-laptop-lenovo-original-imagfzzxmhfgzysy.jpeg?q=70
Lenovo IdeaPad Core i3 11th Gen,4.3,326,26,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹38,618","₹59,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,"3,714",353,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹38,000","₹59,390",https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
MSI Core i7 11th Gen,4.4,904,91,Intel Core i7 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹75,990","₹95,990",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
HP Victus Intel Core i5 12th Gen,4.3,322,29,Intel Core i5 Processor (12th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹65,990","₹83,027",https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70
ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,4.3,401,59,Intel Core i3 Processor (11th Gen),8 GB DDR4,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch),"₹45,990","₹62,990",https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
MSI Core i7 11th Gen,4.5,76,3,Intel Core i7 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹69,990","₹89,990",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
ASUS VivoBook 14 (2021) Celeron Dual Core,4.1,517,60,Intel Celeron Dual Core Processor,4 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹25,990","₹33,990",https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
ASUS Core i3 11th Gen,4.3,"1,035",131,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹36,990","₹50,990",https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,631,50,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹36,990","₹60,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.2,992,88,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹37,999","₹47,206",https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
DELL Ryzen 3 Quad Core 5425U,4.6,34,6,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),& Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021,"Ports: 1 USB3.2 Gen1 Type-C port, 1 USB3.2 Gen1 port?, 1 USB 2.0 part?, 1 Headset jack, 1 HDMI 1.4, 1 Flip-down RJ 45 port 10/100/1000 Mbps?, 1 SD 3.0 card slot","₹36,390","₹50,837",https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/m/q/7/vostro-3425-thin-and-light-laptop-dell-original-imagf4mth22ydgqs.jpeg?q=70
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H,4.5,342,52,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹89,990","₹1,11,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/r/z/alpha-15-amd-advantage-edition-b5eek-gaming-laptop-msi-original-imaghffgxvfmtcpg.jpeg?q=70
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,"2,169",190,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,599","₹76,890",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,"8,273",749,Apple M1 Processor,8 GB DDR4,256 GB SSD,33.78 cm (13.3 inch),"₹88,990","₹99,900",https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70
acer Extensa 15 Core i3 11th Gen,4.1,154,24,Intel Core i3 Processor (11th Gen),4 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹29,990","₹44,999",https://rukminim1.flixcart.com/image/312/312/l1fc0i80/computer/5/x/c/-original-imagczgszcxeyfgg.jpeg?q=70
acer Aspire 3 Core i5 11th Gen,3.9,40,4,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹42,990","₹61,999",https://rukminim1.flixcart.com/image/312/312/l59xq4w0/screen-guard/screen-guard/d/z/o/acer-aspire-3-15-6-inch-screen-guards-vrishank-original-imagfzemyhpasvwf.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,4.5,304,40,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹74,990","₹1,02,090",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/h/15ach6-gaming-laptop-lenovo-original-imaggmxtjewnjpeq.jpeg?q=70
ASUS VivoBook 14 (2022) Core i5 11th Gen,4.2,586,58,Intel Core i5 Processor (11th Gen),8 GB DDR4,1 TB HDD|256 GB SSD,35.56 cm (14 inch),"₹49,990","₹72,990",https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,"1,621",167,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹48,333","₹57,042",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4.3,"1,787",193,Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores,& Storage: 8GB DDR4 & 1TB + 256GB SSD,"Display: 15.6"" FHD WVA AG Narrow Border","Ports: 2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 slot for solid-state drive/Intel Optane","₹46,299","₹58,389",https://rukminim1.flixcart.com/image/312/312/kt8zb0w0/computer/n/m/v/inspiron-3511-thin-and-light-laptop-dell-original-imag6n5kbmfcgxk6.jpeg?q=70
